-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.022,  0.115
-183.800, 80.199, 0.021,  0.148
-183.800, 80.199, 0.020,  0.181
-183.800, 80.198, 0.021,  0.214
-183.800, 80.198, 0.025,  0.247
-183.800, 80.197, 0.045,  0.280
-183.799, 80.193, 0.116,  0.313
-183.797, 80.186, 0.218,  0.346
-183.793, 80.174, 0.327,  0.379
-183.788, 80.160, 0.425,  0.412
-183.779, 80.143, 0.532,  0.445
-183.768, 80.122, 0.633,  0.478
-183.753, 80.099, 0.730,  0.511
-183.735, 80.072, 0.863,  0.544
-183.716, 80.040, 1.027,  0.577
-183.695, 80.002, 1.199,  0.610
-183.673, 79.959, 1.363,  0.643
-183.650, 79.911, 1.521,  0.676
-183.626, 79.859, 1.669,  0.709
-183.602, 79.802, 1.802,  0.742
-183.578, 79.742, 1.908,  0.775
-183.554, 79.680, 1.969,  0.808
-183.530, 79.617, 1.996,  0.841
-183.507, 79.554, 2.000,  0.874
-183.483, 79.492, 1.985,  0.907
-183.460, 79.430, 1.958,  0.940
-183.437, 79.370, 1.922,  0.973
-183.415, 79.312, 1.879,  1.006
-183.392, 79.255, 1.831,  1.039
-183.370, 79.200, 1.780,  1.072
-183.349, 79.146, 1.727,  1.105
-183.328, 79.095, 1.647,  1.138
-183.307, 79.046, 1.584,  1.171
-183.287, 78.999, 1.530,  1.204
-183.267, 78.953, 1.489,  1.237
-183.247, 78.907, 1.465,  1.270
-183.227, 78.862, 1.463,  1.303
-183.206, 78.817, 1.484,  1.336
-183.186, 78.770, 1.528,  1.369
-183.164, 78.721, 1.584,  1.402
-183.143, 78.670, 1.641,  1.435
-183.120, 78.617, 1.707,  1.468
-183.098, 78.562, 1.779,  1.501
-183.075, 78.505, 1.853,  1.534
-183.052, 78.445, 1.919,  1.567
-183.029, 78.384, 1.956,  1.600
-183.006, 78.322, 1.967,  1.633
-182.984, 78.261, 1.959,  1.666
-182.962, 78.200, 1.936,  1.699
-182.940, 78.140, 1.903,  1.732
